API,Series,Date,Value
INTL.57-1-USA-TBPD.M,9175.935,1994-05-01,6688.193
INTL.56-1-USA-TBPD.M,nan,1994-05-01,724.0
INTL.53-1-WORL-TBPD.M,nan,1994-06-01,68349.817
INTL.55-1-WORL-TBPD.M,nan,1994-06-01,67557.817
INTL.57-1-WORL-TBPD.M,54389.0,1994-06-01,60548.355
INTL.56-1-WORL-TBPD.M,nan,1994-06-01,1318.3
INTL.56-1-GUY-TBPD.M,nan,1994-06-01,0.0
INTL.53-1-MEX-TBPD.M,nan,1994-06-01,3070.792
INTL.55-1-MEX-TBPD.M,nan,1994-06-01,3070.792
INTL.57-1-MEX-TBPD.M,453.0,1994-06-01,2673.092
INTL.56-1-MEX-TBPD.M,nan,1994-06-01,13.0
INTL.53-1-USA-TBPD.M,nan,1994-06-01,9377.59
INTL.55-1-USA-TBPD.M,nan,1994-06-01,8585.59
INTL.57-1-USA-TBPD.M,9175.935,1994-06-01,6610.59
INTL.56-1-USA-TBPD.M,nan,1994-06-01,792.0
INTL.53-1-WORL-TBPD.M,nan,1994-07-01,68275.803
INTL.55-1-WORL-TBPD.M,nan,1994-07-01,67495.803
INTL.57-1-WORL-TBPD.M,54389.0,1994-07-01,60429.972
INTL.56-1-WORL-TBPD.M,nan,1994-07-01,1306.3
INTL.56-1-GUY-TBPD.M,nan,1994-07-01,0.0
